Screen_Time_Per_Day,Sleep_Duration,Social_Media_Usage,Physical_Activity,Mood_Score,Workload_Stress_Score,Eating_Habit,Mental_Health_Risk,Suggested_Tip
6.7,6.3,136.0,3.5,10.0,3.0,Skipped,No,Maintain your current healthy habits.
8.1,6.4,129.0,2.1,8.0,8.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.3,6.7,221.0,3.0,10.0,3.0,Irregular,No,Continue staying socially connected.
5.4,6.7,160.0,3.0,5.0,3.0,Balanced,No,Continue staying socially connected.
5.2,8.8,118.0,2.4,4.0,7.0,Skipped,No,Maintain your current healthy habits.
5.6,7.9,64.0,3.4,1.0,4.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.8,5.7,83.0,1.7,,10.0,Skipped,Yes,Spend more time with friends and family.
6.3,3.9,299.0,2.0,8.0,7.0,Skipped,Yes,Incorporate physical activity into your routine.
6.8,6.5,242.0,1.5,5.0,8.0,Balanced,Yes,Spend more time with friends and family.
4.9,4.9,70.0,2.1,1.0,9.0,Balanced,Yes,Establish a consistent sleep routine.
6.9,7.6,192.0,3.5,10.0,7.0,Balanced,No,Maintain your current healthy habits.
8.0,7.3,230.0,3.2,8.0,2.0,Skipped,Yes,Establish a consistent sleep routine.
5.6,5.6,91.0,4.2,8.0,6.0,Skipped,No,Stay active and eat well.
4.7,6.4,130.0,4.0,3.0,1.0,Balanced,Yes,Incorporate physical activity into your routine.
4.6,7.4,236.0,2.6,3.0,7.0,Skipped,Yes,Limit social media usage.
5.9,9.7,251.0,2.0,5.0,7.0,Balanced,No,Continue staying socially connected.
7.3,9.2,58.0,2.2,2.0,10.0,Skipped,Yes,Incorporate physical activity into your routine.
5.2,7.1,163.0,4.2,4.0,10.0,Irregular,Yes,Limit social media usage.
5.5,5.5,219.0,2.7,9.0,4.0,Balanced,No,Continue staying socially connected.
5.4,4.9,227.0,2.0,8.0,9.0,Irregular,Yes,Spend more time with friends and family.
8.9,6.3,263.0,3.5,6.0,8.0,Balanced,Yes,Incorporate physical activity into your routine.
5.8,5.4,81.0,4.4,7.0,2.0,Balanced,Yes,Limit social media usage.
4.9,7.0,110.0,2.6,1.0,1.0,Irregular,Yes,Practice mindfulness or meditation daily.
5.9,5.8,201.0,,10.0,6.0,Irregular,No,Maintain your current healthy habits.
7.2,5.1,232.0,1.7,6.0,8.0,Skipped,Yes,Incorporate physical activity into your routine.
5.0,6.9,269.0,3.0,1.0,9.0,Skipped,Yes,Spend more time with friends and family.
4.5,5.8,288.0,4.7,3.0,10.0,Irregular,Yes,Spend more time with friends and family.
7.3,4.6,228.0,3.1,4.0,9.0,Skipped,Yes,Limit social media usage.
4.6,8.4,158.0,4.2,2.0,7.0,Skipped,Yes,Practice mindfulness or meditation daily.
7.3,8.7,292.0,3.4,10.0,9.0,Irregular,Yes,Practice mindfulness or meditation daily.
3.4,6.6,283.0,1.6,3.0,3.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
7.8,7.1,181.0,3.3,6.0,8.0,Balanced,Yes,Spend more time with friends and family.
7.3,8.6,141.0,3.3,2.0,2.0,Skipped,Yes,Establish a consistent sleep routine.
4.9,3.0,198.0,2.2,4.0,1.0,Irregular,Yes,Spend more time with friends and family.
6.0,6.0,164.0,2.0,3.0,6.0,Balanced,Yes,Spend more time with friends and family.
7.7,5.4,67.0,2.2,6.0,3.0,Irregular,Yes,Limit social media usage.
6.4,7.5,255.0,4.3,1.0,5.0,Irregular,Yes,Consider speaking to a counselor or mental health expert.
4.0,6.5,33.0,1.4,3.0,1.0,Irregular,Yes,Establish a consistent sleep routine.
3.3,6.2,35.0,2.9,5.0,3.0,Irregular,No,Keep a balance between work and rest.
7.1,5.4,190.0,2.4,3.0,2.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
7.1,6.6,87.0,3.6,7.0,2.0,Irregular,Yes,Consider speaking to a counselor or mental health expert.
4.4,5.5,133.0,2.0,1.0,,Skipped,Yes,Consider speaking to a counselor or mental health expert.
4.6,8.2,199.0,3.5,9.0,8.0,Balanced,Yes,Practice mindfulness or meditation daily.
6.8,6.5,65.0,3.9,4.0,1.0,Skipped,No,Continue staying socially connected.
5.8,5.7,171.0,2.7,2.0,2.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
7.1,8.8,,2.3,9.0,10.0,Balanced,Yes,Establish a consistent sleep routine.
3.3,6.9,87.0,2.5,5.0,1.0,Irregular,No,Stay active and eat well.
7.6,5.9,137.0,3.8,5.0,7.0,Irregular,Yes,Consider speaking to a counselor or mental health expert.
9.6,8.7,173.0,3.0,3.0,1.0,Skipped,Yes,Practice mindfulness or meditation daily.
6.7,4.9,87.0,1.0,7.0,10.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.8,7.5,158.0,2.7,2.0,6.0,Irregular,Yes,Spend more time with friends and family.
5.5,7.6,218.0,4.3,7.0,5.0,Balanced,No,Maintain your current healthy habits.
4.0,8.7,105.0,1.8,6.0,9.0,Irregular,Yes,Incorporate physical activity into your routine.
6.3,5.7,76.0,2.7,1.0,4.0,Irregular,Yes,Spend more time with friends and family.
7.0,7.2,129.0,2.7,7.0,10.0,Balanced,Yes,Practice mindfulness or meditation daily.
4.1,8.4,209.0,4.3,10.0,10.0,Skipped,Yes,Limit social media usage.
6.0,7.4,33.0,3.6,2.0,1.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.2,6.9,181.0,3.9,2.0,3.0,Irregular,Yes,Incorporate physical activity into your routine.
5.1,9.0,208.0,3.4,1.0,1.0,Skipped,Yes,Incorporate physical activity into your routine.
7.7,5.1,41.0,3.6,2.0,3.0,Balanced,Yes,Limit social media usage.
3.7,7.8,119.0,3.9,10.0,2.0,Balanced,No,Continue staying socially connected.
5.3,6.5,143.0,1.3,8.0,4.0,Skipped,No,Keep a balance between work and rest.
6.7,6.4,193.0,3.6,3.0,1.0,Skipped,Yes,Practice mindfulness or meditation daily.
4.9,5.8,,3.4,8.0,7.0,Irregular,No,Stay active and eat well.
8.3,6.0,246.0,2.4,1.0,4.0,Irregular,Yes,Establish a consistent sleep routine.
4.0,5.9,216.0,3.9,3.0,1.0,Balanced,Yes,Practice mindfulness or meditation daily.
5.4,7.7,235.0,2.8,10.0,5.0,Irregular,No,Maintain your current healthy habits.
9.0,6.7,82.0,2.2,7.0,9.0,Balanced,Yes,Spend more time with friends and family.
8.7,7.0,268.0,3.4,1.0,6.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.2,6.8,199.0,2.5,9.0,2.0,Balanced,No,Stay active and eat well.
3.6,6.6,165.0,1.6,4.0,1.0,Skipped,No,Maintain your current healthy habits.
3.9,5.7,211.0,4.4,7.0,10.0,Irregular,Yes,Incorporate physical activity into your routine.
5.5,6.5,249.0,4.6,8.0,9.0,Skipped,Yes,Incorporate physical activity into your routine.
6.7,7.5,219.0,4.1,9.0,1.0,Skipped,No,Keep a balance between work and rest.
6.1,5.5,146.0,3.1,5.0,4.0,Skipped,No,Maintain your current healthy habits.
7.5,7.1,76.0,3.1,9.0,1.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
5.4,8.7,83.0,3.9,9.0,10.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.3,9.1,37.0,2.2,10.0,4.0,Skipped,No,Keep a balance between work and rest.
2.8,5.9,207.0,2.2,4.0,6.0,Skipped,No,Keep a balance between work and rest.
4.0,8.6,269.0,1.5,3.0,6.0,Balanced,Yes,Limit social media usage.
4.0,8.7,271.0,1.8,8.0,1.0,Irregular,No,Continue staying socially connected.
6.3,6.4,268.0,4.5,1.0,5.0,Irregular,Yes,Spend more time with friends and family.
5.1,8.2,206.0,2.9,3.0,1.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
7.9,6.9,162.0,4.9,6.0,3.0,Irregular,Yes,Practice mindfulness or meditation daily.
8.3,6.9,194.0,2.4,5.0,9.0,Balanced,Yes,Practice mindfulness or meditation daily.
8.0,4.9,63.0,3.5,8.0,7.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.4,9.0,147.0,2.5,1.0,6.0,Irregular,Yes,Consider speaking to a counselor or mental health expert.
7.3,7.0,284.0,4.3,7.0,5.0,Skipped,Yes,Practice mindfulness or meditation daily.
8.2,7.6,132.0,4.1,3.0,2.0,Balanced,Yes,Establish a consistent sleep routine.
3.4,6.7,59.0,0.8,7.0,10.0,Irregular,Yes,Establish a consistent sleep routine.
3.4,6.4,98.0,3.0,3.0,9.0,Skipped,Yes,Practice mindfulness or meditation daily.
6.6,9.3,37.0,1.9,4.0,8.0,Balanced,Yes,Practice mindfulness or meditation daily.
4.9,8.5,224.0,3.5,10.0,3.0,Irregular,No,Stay active and eat well.
6.0,5.5,30.0,2.4,5.0,9.0,Balanced,Yes,Spend more time with friends and family.
7.2,6.2,107.0,1.8,10.0,9.0,Irregular,Yes,Limit social media usage.
4.3,8.9,85.0,2.8,1.0,10.0,Balanced,Yes,Spend more time with friends and family.
6.3,6.5,156.0,3.0,7.0,8.0,Balanced,Yes,Practice mindfulness or meditation daily.
6.1,6.2,216.0,3.1,8.0,3.0,Balanced,No,Maintain your current healthy habits.
6.9,6.9,267.0,2.6,3.0,9.0,Skipped,Yes,Incorporate physical activity into your routine.
7.4,5.6,68.0,3.6,9.0,1.0,Balanced,Yes,Practice mindfulness or meditation daily.
5.0,5.2,54.0,3.2,4.0,10.0,Balanced,Yes,Establish a consistent sleep routine.
7.4,6.5,140.0,4.5,4.0,6.0,Skipped,Yes,Incorporate physical activity into your routine.
8.3,7.1,265.0,2.6,6.0,4.0,Skipped,Yes,Establish a consistent sleep routine.
5.0,7.6,258.0,4.9,9.0,1.0,Irregular,No,Stay active and eat well.
5.7,3.8,124.0,3.2,4.0,6.0,Balanced,Yes,Practice mindfulness or meditation daily.
7.4,6.5,91.0,3.5,9.0,2.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
9.1,8.4,202.0,2.3,6.0,4.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.9,6.8,142.0,0.3,1.0,10.0,Irregular,Yes,Incorporate physical activity into your routine.
5.7,6.7,168.0,2.8,3.0,1.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.7,5.6,290.0,0.9,7.0,10.0,Irregular,Yes,Incorporate physical activity into your routine.
5.1,7.4,130.0,5.4,3.0,1.0,Skipped,Yes,Incorporate physical activity into your routine.
5.1,7.0,166.0,3.6,2.0,3.0,Balanced,Yes,Establish a consistent sleep routine.
6.1,6.3,89.0,2.9,9.0,5.0,Balanced,No,Maintain your current healthy habits.
6.2,5.9,242.0,2.6,5.0,5.0,Irregular,No,Maintain your current healthy habits.
7.0,5.0,91.0,3.9,9.0,2.0,Skipped,Yes,Practice mindfulness or meditation daily.
5.5,6.2,43.0,4.3,3.0,6.0,Balanced,Yes,Practice mindfulness or meditation daily.
2.5,8.3,182.0,1.8,2.0,5.0,Balanced,Yes,Spend more time with friends and family.
3.6,6.8,227.0,3.8,6.0,3.0,Balanced,No,Maintain your current healthy habits.
3.8,7.9,44.0,3.0,7.0,4.0,Balanced,No,Maintain your current healthy habits.
7.6,7.7,283.0,3.7,4.0,6.0,Balanced,Yes,Limit social media usage.
5.9,8.7,147.0,4.3,5.0,4.0,Balanced,No,Continue staying socially connected.
5.3,7.7,124.0,4.0,3.0,3.0,Irregular,Yes,Consider speaking to a counselor or mental health expert.
8.6,7.1,98.0,1.8,7.0,10.0,Irregular,Yes,Establish a consistent sleep routine.
5.0,6.7,140.0,5.6,8.0,4.0,Skipped,No,Continue staying socially connected.
5.1,8.1,80.0,3.2,6.0,7.0,,No,Stay active and eat well.
6.2,6.1,139.0,2.5,4.0,6.0,Balanced,No,Stay active and eat well.
5.3,7.6,84.0,3.5,9.0,5.0,Irregular,No,Continue staying socially connected.
4.0,7.8,146.0,2.4,10.0,9.0,Balanced,Yes,Spend more time with friends and family.
5.7,5.4,119.0,2.8,2.0,2.0,Skipped,Yes,Incorporate physical activity into your routine.
6.9,6.7,280.0,3.8,3.0,6.0,Irregular,Yes,Incorporate physical activity into your routine.
6.0,4.9,227.0,2.3,10.0,2.0,Irregular,Yes,Incorporate physical activity into your routine.
7.4,5.3,113.0,3.5,9.0,1.0,Skipped,Yes,Spend more time with friends and family.
7.7,6.7,92.0,3.0,1.0,7.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.2,8.1,61.0,2.7,1.0,8.0,Skipped,Yes,Spend more time with friends and family.
3.5,7.3,204.0,5.4,1.0,2.0,Balanced,Yes,Incorporate physical activity into your routine.
8.9,8.4,161.0,3.0,1.0,8.0,Skipped,Yes,Limit social media usage.
3.9,5.6,191.0,2.6,2.0,7.0,Balanced,Yes,Establish a consistent sleep routine.
5.9,6.4,276.0,3.0,3.0,8.0,Balanced,Yes,Establish a consistent sleep routine.
6.0,4.8,83.0,3.8,3.0,1.0,Skipped,Yes,Incorporate physical activity into your routine.
3.2,8.6,125.0,3.4,8.0,8.0,Balanced,Yes,Incorporate physical activity into your routine.
3.5,5.4,36.0,4.4,5.0,3.0,Balanced,Yes,Limit social media usage.
7.2,8.1,226.0,4.0,4.0,10.0,Irregular,Yes,Establish a consistent sleep routine.
5.3,7.8,148.0,3.8,6.0,9.0,Balanced,Yes,Incorporate physical activity into your routine.
3.9,4.4,110.0,2.5,10.0,8.0,Skipped,Yes,Spend more time with friends and family.
6.0,6.9,253.0,2.6,9.0,8.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.9,5.5,,4.6,6.0,6.0,Skipped,No,Maintain your current healthy habits.
4.1,6.6,244.0,4.0,5.0,10.0,Balanced,Yes,Establish a consistent sleep routine.
6.8,4.5,46.0,3.6,5.0,9.0,Balanced,Yes,Incorporate physical activity into your routine.
8.7,6.5,146.0,4.6,9.0,5.0,Irregular,Yes,Incorporate physical activity into your routine.
8.4,4.3,151.0,1.7,2.0,6.0,Balanced,Yes,Incorporate physical activity into your routine.
5.5,6.7,58.0,1.5,4.0,1.0,Balanced,No,Continue staying socially connected.
4.8,7.4,127.0,4.5,7.0,8.0,Irregular,Yes,Spend more time with friends and family.
6.1,,279.0,2.4,2.0,9.0,Irregular,Yes,Limit social media usage.
6.2,6.1,230.0,3.2,8.0,1.0,Irregular,No,Keep a balance between work and rest.
8.5,5.7,133.0,1.4,3.0,2.0,Irregular,Yes,Consider speaking to a counselor or mental health expert.
5.4,7.3,131.0,4.0,2.0,3.0,Skipped,Yes,Practice mindfulness or meditation daily.
7.5,5.8,46.0,2.9,8.0,3.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.9,7.5,244.0,3.6,5.0,6.0,Irregular,No,Continue staying socially connected.
6.1,6.5,118.0,4.4,9.0,10.0,Balanced,Yes,Limit social media usage.
7.5,7.5,299.0,3.1,5.0,7.0,Balanced,Yes,Spend more time with friends and family.
6.7,6.2,244.0,3.7,4.0,7.0,Skipped,No,Maintain your current healthy habits.
7.2,8.1,132.0,0.3,1.0,8.0,Skipped,Yes,Limit social media usage.
5.3,6.1,127.0,3.1,10.0,7.0,Balanced,No,Maintain your current healthy habits.
7.5,8.2,33.0,1.1,6.0,9.0,Skipped,Yes,Incorporate physical activity into your routine.
6.2,8.6,137.0,3.1,3.0,7.0,Skipped,Yes,Practice mindfulness or meditation daily.
7.6,9.6,265.0,2.3,9.0,10.0,Balanced,Yes,Spend more time with friends and family.
5.6,5.7,94.0,2.6,8.0,2.0,Skipped,No,Maintain your current healthy habits.
5.6,5.3,182.0,2.2,1.0,5.0,Balanced,Yes,Spend more time with friends and family.
,6.8,169.0,3.6,7.0,8.0,Skipped,Yes,Spend more time with friends and family.
3.7,6.8,91.0,3.9,2.0,9.0,Skipped,Yes,Establish a consistent sleep routine.
5.9,6.6,101.0,3.2,5.0,3.0,Irregular,No,Maintain your current healthy habits.
6.7,4.6,255.0,3.1,9.0,10.0,Skipped,Yes,Establish a consistent sleep routine.
6.7,7.1,83.0,2.6,2.0,2.0,Skipped,Yes,Practice mindfulness or meditation daily.
4.2,5.5,189.0,3.5,3.0,6.0,Balanced,Yes,Practice mindfulness or meditation daily.
8.1,7.3,118.0,4.5,2.0,9.0,Balanced,Yes,Incorporate physical activity into your routine.
8.7,4.7,58.0,2.3,9.0,3.0,Skipped,Yes,Practice mindfulness or meditation daily.
6.8,7.8,290.0,2.1,6.0,8.0,Skipped,Yes,Practice mindfulness or meditation daily.
7.5,6.2,66.0,3.1,5.0,1.0,Irregular,Yes,Limit social media usage.
7.4,6.5,85.0,3.5,1.0,6.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
9.0,7.8,121.0,3.1,1.0,9.0,Skipped,Yes,Limit social media usage.
4.2,5.6,210.0,4.0,6.0,7.0,Balanced,No,Keep a balance between work and rest.
8.3,7.7,189.0,2.9,5.0,7.0,Irregular,Yes,Establish a consistent sleep routine.
6.6,6.0,235.0,2.2,2.0,1.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
7.3,5.3,217.0,3.2,8.0,3.0,Irregular,Yes,Incorporate physical activity into your routine.
5.4,5.7,103.0,4.2,5.0,6.0,Irregular,No,Maintain your current healthy habits.
5.6,6.7,271.0,3.4,4.0,1.0,Balanced,No,Stay active and eat well.
7.1,7.7,222.0,2.4,3.0,4.0,Skipped,Yes,Practice mindfulness or meditation daily.
8.9,8.4,87.0,2.9,7.0,10.0,Balanced,Yes,Spend more time with friends and family.
5.8,5.0,33.0,1.6,7.0,7.0,Skipped,Yes,Establish a consistent sleep routine.
2.7,5.8,159.0,3.9,4.0,6.0,Skipped,No,Keep a balance between work and rest.
6.6,6.8,113.0,1.5,3.0,1.0,Balanced,Yes,Limit social media usage.
5.0,7.9,191.0,2.1,3.0,1.0,Balanced,Yes,Establish a consistent sleep routine.
4.1,8.2,237.0,1.8,9.0,1.0,Irregular,No,Keep a balance between work and rest.
6.2,8.5,228.0,0.5,3.0,5.0,Balanced,Yes,Incorporate physical activity into your routine.
5.8,4.9,251.0,2.3,6.0,9.0,Skipped,Yes,Consider speaking to a counselor or mental health expert.
8.7,7.0,146.0,2.0,2.0,8.0,Irregular,Yes,Practice mindfulness or meditation daily.
6.4,6.5,238.0,2.5,6.0,9.0,Skipped,Yes,Practice mindfulness or meditation daily.
2.4,6.9,296.0,3.5,6.0,3.0,Balanced,No,Keep a balance between work and rest.
5.6,6.0,75.0,3.0,6.0,4.0,Skipped,No,Maintain your current healthy habits.
4.3,7.9,271.0,2.3,1.0,2.0,Balanced,Yes,Limit social media usage.
7.5,6.6,106.0,2.8,2.0,6.0,Balanced,Yes,Spend more time with friends and family.
4.9,8.7,172.0,3.6,2.0,10.0,Skipped,Yes,Practice mindfulness or meditation daily.
8.1,7.6,38.0,4.8,8.0,8.0,,Yes,Limit social media usage.
6.5,7.6,140.0,3.6,7.0,4.0,Irregular,No,Continue staying socially connected.
9.2,7.9,51.0,5.1,9.0,10.0,Skipped,Yes,Limit social media usage.
5.0,8.5,41.0,2.5,7.0,9.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.5,7.0,84.0,4.7,7.0,5.0,Skipped,No,Keep a balance between work and rest.
5.7,6.5,111.0,5.1,6.0,2.0,Skipped,No,Stay active and eat well.
4.0,7.9,88.0,1.9,3.0,6.0,Irregular,Yes,Spend more time with friends and family.
6.8,7.8,188.0,2.9,10.0,8.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
3.2,5.4,49.0,6.1,3.0,9.0,Irregular,Yes,Limit social media usage.
6.5,8.5,257.0,2.5,2.0,2.0,Balanced,Yes,Spend more time with friends and family.
6.9,7.9,272.0,3.8,3.0,2.0,Irregular,Yes,Establish a consistent sleep routine.
6.3,8.2,37.0,3.8,4.0,7.0,Skipped,No,Keep a balance between work and rest.
3.9,8.2,31.0,3.3,9.0,6.0,Balanced,No,Stay active and eat well.
5.6,6.3,260.0,4.1,9.0,4.0,Skipped,No,Stay active and eat well.
4.3,6.9,57.0,3.8,1.0,8.0,Skipped,Yes,Spend more time with friends and family.
4.1,4.6,39.0,4.5,3.0,6.0,Balanced,Yes,Spend more time with friends and family.
6.1,5.0,295.0,2.1,5.0,4.0,Skipped,Yes,Establish a consistent sleep routine.
6.6,7.2,93.0,3.1,6.0,4.0,Skipped,No,Maintain your current healthy habits.
8.1,4.6,204.0,2.7,1.0,8.0,Irregular,Yes,Practice mindfulness or meditation daily.
9.1,6.9,236.0,4.3,6.0,4.0,Skipped,Yes,Establish a consistent sleep routine.
5.9,6.5,49.0,3.1,3.0,6.0,Irregular,Yes,Establish a consistent sleep routine.
5.3,6.7,41.0,2.1,10.0,4.0,Balanced,No,Keep a balance between work and rest.
7.4,6.9,252.0,3.1,7.0,6.0,Irregular,Yes,Spend more time with friends and family.
3.5,7.8,263.0,2.0,7.0,8.0,Irregular,Yes,Establish a consistent sleep routine.
5.1,8.8,34.0,2.9,2.0,1.0,Skipped,Yes,Establish a consistent sleep routine.
6.0,6.7,105.0,3.2,8.0,9.0,Skipped,Yes,Spend more time with friends and family.
7.7,7.9,176.0,3.8,2.0,2.0,Irregular,Yes,Practice mindfulness or meditation daily.
8.7,4.6,190.0,3.9,9.0,9.0,Irregular,Yes,Practice mindfulness or meditation daily.
6.5,7.0,106.0,2.4,2.0,6.0,Skipped,Yes,Establish a consistent sleep routine.
5.5,7.9,111.0,1.8,9.0,7.0,Balanced,No,Continue staying socially connected.
7.9,6.2,118.0,4.1,10.0,7.0,Balanced,Yes,Incorporate physical activity into your routine.
3.8,4.1,122.0,4.1,9.0,1.0,Balanced,Yes,Establish a consistent sleep routine.
5.0,4.9,131.0,3.2,10.0,2.0,Skipped,Yes,Limit social media usage.
4.9,3.8,146.0,2.3,10.0,9.0,Irregular,Yes,Consider speaking to a counselor or mental health expert.
3.9,4.5,257.0,4.4,6.0,2.0,Skipped,Yes,Establish a consistent sleep routine.
6.8,6.7,50.0,4.8,7.0,7.0,Irregular,No,Continue staying socially connected.
6.2,7.0,80.0,2.2,4.0,5.0,Skipped,No,Maintain your current healthy habits.
5.6,5.3,268.0,1.9,3.0,8.0,Irregular,Yes,Spend more time with friends and family.
7.4,4.6,175.0,3.3,10.0,9.0,Irregular,Yes,Establish a consistent sleep routine.
5.9,5.2,137.0,3.1,10.0,7.0,Balanced,Yes,Incorporate physical activity into your routine.
8.8,6.8,270.0,1.4,4.0,4.0,Irregular,Yes,Limit social media usage.
6.7,8.2,201.0,2.9,8.0,10.0,Balanced,Yes,Establish a consistent sleep routine.
6.4,9.2,249.0,2.3,10.0,8.0,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.0,7.9,101.0,2.7,8.0,1.0,Balanced,No,Stay active and eat well.
7.1,5.7,79.0,3.7,7.0,10.0,Irregular,Yes,Limit social media usage.
6.7,7.2,271.0,3.7,5.0,1.0,Balanced,No,Keep a balance between work and rest.
7.0,7.0,148.0,1.7,5.0,3.0,Irregular,No,Stay active and eat well.
6.2,7.7,167.0,5.2,9.0,9.0,Skipped,Yes,Practice mindfulness or meditation daily.
9.0,6.7,82.0,2.2,7.0,9.0,Balanced,Yes,Spend more time with friends and family.
6.2,7.7,167.0,5.2,9.0,9.0,Skipped,Yes,Practice mindfulness or meditation daily.
6.5,7.0,106.0,2.4,2.0,6.0,Skipped,Yes,Establish a consistent sleep routine.
7.2,8.1,132.0,0.3,1.0,8.0,Skipped,Yes,Limit social media usage.
6.6,9.3,37.0,1.9,4.0,8.0,Balanced,Yes,Practice mindfulness or meditation daily.
